#~~~~~~~~~~~~~~~~~~~ COPYRIGHT NOTICE ~~~~~~~~~~~~~~~~~~~#
#
# © 2008, Juliet R.C. Pulliam and Jonathan Dushoff. Some Rights Reserved.
#
# This work is Copyright Juliet R.C. Pulliam and Jonathan Dushoff 2008
# and is made available under a Creative Commons Attribution Noncommercial
# Share Alike United States 3.0 License. You are free to copy, distribute,
# and modify this work, provided that you do not use the work for
# commercial purposes, you credit the authors, and you include a copy of
# this notice.  If this work is used for academic purposes, the associated
# paper should be cited:
#
# Pulliam, JRC and Dushoff, J (2009) Ability to replicate in the cytoplasm
# predicts zoonotic transmission of livestock viruses. Journal of Infectious
# Diseases 199(4): 565-568. DOI: 10.1086/596510
#
# If you modify this work, you may distribute the resulting derivative
# work only under the same or a similar license to this one and with
# proper attribution of the original work, as stated above. To see further
# details of this license, including a link to the legal code, visit
# http://creativecommons.org/licenses/by-nc-sa/3.0/.				
#				
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#				
Picornaviridae	Cardiovirus	EMCV	approved	Y2
Picornaviridae	Enterovirus	BEV	approved	N
Picornaviridae	Enterovirus	PEV-A	approved	N
Picornaviridae	Enterovirus	PEV-B	approved	N
Picornaviridae	Kobuvirus	BKV	approved	N
Picornaviridae	Rhinovirus	BRV-1	tentative	N
Picornaviridae	Rhinovirus	BRV-2	tentative	N
Picornaviridae	Rhinovirus	BRV-3	tentative	N
Picornaviridae	Teschovirus	PTV	approved	N
Polyomaviridae	Polyomavirus	BPyV	approved	N
Poxviridae	Capripoxvirus	GTPV	approved	N
Poxviridae	Capripoxvirus	LSDV	approved	N
Poxviridae	Capripoxvirus	SPPV	approved	N
Poxviridae	Orthopoxvirus	CPXV	approved	Y
Poxviridae	Orthopoxvirus	VACV	approved	Y
Poxviridae	Parapoxvirus	BPSV	approved	Y
Poxviridae	Parapoxvirus	ORFV	approved	Y
Poxviridae	Parapoxvirus	PCPV	approved	Y
Poxviridae	Suipoxvirus	SWPV	approved	N
Reoviridae	Orbivirus	BTV	approved	N
Reoviridae	Orbivirus	CNUV	approved	N
Reoviridae	Orbivirus	EHDV	approved	N
Reoviridae	Orbivirus	GIV	approved	N
Reoviridae	Orbivirus	ORUV	approved	Y
Reoviridae	Orbivirus	PALV	approved	N
Reoviridae	Rotavirus	RV-A	approved	Y
Reoviridae	Rotavirus	RV-B	approved	Y
Reoviridae	Rotavirus	RV-C	approved	Y
Reoviridae	Rotavirus	RV-E	approved	N
Retroviridae	Betaretrovirus	JSRV	approved	N
Retroviridae	Deltaretrovirus	BLV	approved	S
Retroviridae	Gammaretrovirus	PCOV	approved	N
Retroviridae	Lentivirus	BIV	approved	N
Retroviridae	Lentivirus	CAEV	approved	N
Retroviridae	Lentivirus	VISNA	approved	N
Retroviridae	Spumavirus	BFV	approved	N
Rhabdoviridae	Ephemerovirus	BEFV	approved	N
Rhabdoviridae	Lyssavirus	EBLV-1	approved	Y2
Rhabdoviridae	Lyssavirus	RABV	approved	Y
Rhabdoviridae	Unassigned	BAV	tentative	N
Rhabdoviridae	Unassigned	KOOLV	tentative	N
Rhabdoviridae	Unassigned	FUKAV	tentative	N
Rhabdoviridae	Vesiculovirus	CHPV	approved	Y
Rhabdoviridae	Vesiculovirus	VSIV	approved	Y
Rhabdoviridae	Vesiculovirus	VSNJV	approved	Y2
Togaviridae	Alphavirus	BarFV	approved	S
Togaviridae	Alphavirus	CHIKV	approved	Y
Togaviridae	Alphavirus	EEEV	approved	Y
Togaviridae	Alphavirus	GETV	approved	N
Togaviridae	Alphavirus	RRV	approved	Y
Togaviridae	Alphavirus	VEEV	approved	Y
